Class                                              AP
Bouncing                                           0.1680
Whip                                               0.4621
Flap                                               0.1328
Scratch                                            0.4404
Scrape                                             0.0215
Rub                                                0.6768
Roll                                               0.2583
Crushing                                           0.3130
Crumpling, crinkling                               0.4188
Tearing                                            0.3581
Beep, bleep                                        0.3384
Ping                                               0.2356
Ding                                               0.1745
Clang                                              0.2886
Squeal                                             0.1870
Creak                                              0.0736
Rustle                                             0.1230
Whir                                               0.1158
Clatter                                            0.1202
Sizzle                                             0.6081
Clicking                                           0.6751
Clickety-clack                                     0.5092
Rumble                                             0.4104
Plop                                               0.7244
Jingle, tinkle                                     0.2110
Hum                                                0.2609
Zing                                               0.2595
Boing                                              0.7358
Crunch                                             0.3388
Silence                                            0.1021
Sine wave                                          0.4934
Harmonic                                           0.0426
Chirp tone                                         0.2460
Sound effect                                       0.0341
Pulse                                              0.1300
Inside, small room                                 0.1677
Inside, large room or hall                         0.0486
Inside, public space                               0.0527
Outside, urban or manmade                          0.1001
Outside, rural or natural                          0.0492
Reverberation                                      0.3498
Echo                                               0.2834
Noise                                              0.0582
Environmental noise                                0.3945
Static                                             0.5444
Mains hum                                          0.4210
Distortion                                         0.5411
Sidetone                                           0.1482
Cacophony                                          0.1281
White noise                                        0.0803
Pink noise                                         0.4091
Throbbing                                          0.2456
Vibration                                          0.0835
Television                                         0.1931
Radio                                              0.2743
Field recording                                    0.2621
