Class                                              AP
Sanding                                            0.8574
Power tool                                         0.4396
Drill                                              0.5878
Explosion                                          0.3344
Gunshot, gunfire                                   0.7427
Machine gun                                        0.7630
Fusillade                                          0.5637
Artillery fire                                     0.7839
Cap gun                                            0.8190
Fireworks                                          0.7373
Firecracker                                        0.5895
Burst, pop                                         0.0517
Eruption                                           0.3768
Boom                                               0.4434
Wood                                               0.4700
Chop                                               0.5383
Splinter                                           0.3955
Crack                                              0.1415
Glass                                              0.3702
Chink, clink                                       0.2526
Shatter                                            0.3595
Liquid                                             0.1373
Splash, splatter                                   0.4496
Slosh                                              0.3393
Squish                                             0.0898
Drip                                               0.2535
Pour                                               0.5000
Trickle, dribble                                   0.1713
Gush                                               0.3166
Fill (with liquid)                                 0.2010
Spray                                              0.5989
Pump (liquid)                                      0.4386
Stir                                               0.8201
Boiling                                            0.3088
Sonar                                              0.6520
Arrow                                              0.7601
Whoosh, swoosh, swish                              0.3960
Thump, thud                                        0.3033
Thunk                                              0.3572
Electronic tuner                                   0.6880
Effects unit                                       0.6127
Chorus effect                                      0.6098
Basketball bounce                                  0.6523
Bang                                               0.0926
Slap, smack                                        0.6995
Whack, thwack                                      0.2851
Smash, crash                                       0.4574
Breaking                                           0.4195
Bouncing                                           0.1904
Whip                                               0.7632
Flap                                               0.1169
Scratch                                            0.4481
Scrape                                             0.0364
Rub                                                0.7491
Roll                                               0.3380
Crushing                                           0.2033
Crumpling, crinkling                               0.4663
Tearing                                            0.4302
Beep, bleep                                        0.3592
Ping                                               0.4728
Ding                                               0.3544
Clang                                              0.3204
Squeal                                             0.1693
Creak                                              0.0782
Rustle                                             0.0863
Whir                                               0.1282
Clatter                                            0.1244
Sizzle                                             0.7403
Clicking                                           0.7365
Clickety-clack                                     0.5761
Rumble                                             0.3777
Plop                                               0.8614
Jingle, tinkle                                     0.3228
Hum                                                0.3080
Zing                                               0.4389
Boing                                              0.8323
Crunch                                             0.4872
Silence                                            0.0858
Sine wave                                          0.5493
Harmonic                                           0.0599
Chirp tone                                         0.2823
Sound effect                                       0.0565
Pulse                                              0.0928
Inside, small room                                 0.2099
Inside, large room or hall                         0.1194
Inside, public space                               0.1497
Outside, urban or manmade                          0.1225
Outside, rural or natural                          0.0607
Reverberation                                      0.3051
Echo                                               0.3743
Noise                                              0.0953
Environmental noise                                0.5686
Static                                             0.5675
Mains hum                                          0.4815
Distortion                                         0.5202
Sidetone                                           0.1845
Cacophony                                          0.1658
White noise                                        0.1120
Pink noise                                         0.4187
Throbbing                                          0.3313
Vibration                                          0.1561
Television                                         0.3021
Radio                                              0.3966
Field recording                                    0.2349
